NUM_POST,latitude,longitude,type,commune,altitude,nom_usuel,num_dep
63113001,45.787,3.149,TX,CLERMONT-FERRAND,331,CLERMONT-FD,63
64549001,43.385,-0.416,IN,UZEIN,183,PAU-UZEIN,64
64549001,43.385,-0.416,RR,UZEIN,183,PAU-UZEIN,64
64549001,43.385,-0.416,TN,UZEIN,183,PAU-UZEIN,64
64549001,43.385,-0.416,TX,UZEIN,183,PAU-UZEIN,64
66136001,42.737,2.873,IN,PERPIGNAN,42,PERPIGNAN,66
66136001,42.737,2.873,RR,PERPIGNAN,42,PERPIGNAN,66
66136001,42.737,2.873,TN,PERPIGNAN,42,PERPIGNAN,66
66136001,42.737,2.873,TX,PERPIGNAN,42,PERPIGNAN,66
67124001,48.55,7.64,IN,HOLTZHEIM,150,STRASBOURG-ENTZHEIM,67
67124001,48.55,7.64,RR,HOLTZHEIM,150,STRASBOURG-ENTZHEIM,67
67124001,48.55,7.64,TN,HOLTZHEIM,150,STRASBOURG-ENTZHEIM,67
67124001,48.55,7.64,TX,HOLTZHEIM,150,STRASBOURG-ENTZHEIM,67
69029001,45.721,4.949,IN,SAINT-PRIEST,202,LYON-BRON,69
69029001,45.721,4.949,RR,SAINT-PRIEST,202,LYON-BRON,69
69029001,45.721,4.949,TN,SAINT-PRIEST,202,LYON-BRON,69
69029001,45.721,4.949,TX,SAINT-PRIEST,202,LYON-BRON,69
75114001,48.822,2.338,IN,PARIS 14E ARRONDISSEMENT,75,PARIS-MONTSOURIS,75
75114001,48.822,2.338,RR,PARIS 14E ARRONDISSEMENT,75,PARIS-MONTSOURIS,75
75114001,48.822,2.338,TN,PARIS 14E ARRONDISSEMENT,75,PARIS-MONTSOURIS,75
75114001,48.822,2.338,TX,PARIS 14E ARRONDISSEMENT,75,PARIS-MONTSOURIS,75
1034004,45.769,5.688,RR,BELLEY,330,BELLEY,1
1072001,46.204,5.288,RR,JASSERON,260,CEYZERIAT_SAPC,1
1089001,45.977,5.329,RR,CHATEAU-GAILLARD,250,AMBERIEU,1
1089001,45.977,5.329,TN,CHATEAU-GAILLARD,250,AMBERIEU,1
1089001,45.977,5.329,TX,CHATEAU-GAILLARD,250,AMBERIEU,1
1143002,46.342,6.14,RR,DIVONNE-LES-BAINS,467,DIVONNE ZA,1
1235001,46.039,5.044,RR,MARLIEUX,280,MARLIEUX,1
1247003,46.379,6.019,RR,MIJOUX,1002,MIJOUX,1
1367002,46.403,5.11,RR,SAINT-JULIEN-SUR-REYSSOUZE,189,SAINT JULIEN SUR REYSSOUZE,1
2058001,49.39,3.733,RR,BEAURIEUX,56,BEAURIEUX,2
2320001,49.818,3.206,RR,FONTAINE-LES-CLERCS,98,ST QUENTIN,2
2320001,49.818,3.206,TN,FONTAINE-LES-CLERCS,98,ST QUENTIN,2
2320001,49.818,3.206,TX,FONTAINE-LES-CLERCS,98,ST QUENTIN,2
2346001,49.6,3.781,RR,GIZY,75,GIZY,2
2471001,49.486,3.693,RR,MARTIGNY-COURPIERRE,95,MARTIGNY-COURPI,2
2585001,49.28,3.331,RR,PARCY-ET-TIGNY,148,PARCY-ET-TIGNY,2
2738001,49.664,3.321,RR,TERGNIER,59,TERGNIER,2
3059001,46.276,3.226,RR,CHAREIL-CINTRAT,286,CHAREIL-CINTRAT_SAPC,3
3059001,46.276,3.226,TN,CHAREIL-CINTRAT,286,CHAREIL-CINTRAT_SAPC,3
3059001,46.276,3.226,TX,CHAREIL-CINTRAT,286,CHAREIL-CINTRAT_SAPC,3
3060001,46.167,3.399,RR,CHARMEIL,249,VICHY-CHARMEIL,3
3060001,46.167,3.399,TN,CHARMEIL,249,VICHY-CHARMEIL,3
3060001,46.167,3.399,TX,CHARMEIL,249,VICHY-CHARMEIL,3
3074001,46.631,3.549,RR,CHEVAGNES,228,CHEVAGNES,3
3100001,46.542,3.707,RR,DIOU,220,DIOU,3
3125001,45.985,3.64,RR,LA GUILLERMIE,722,LA GUILLERMIE,3
3130002,46.663,2.73,RR,ISLE-ET-BARDAIS,260,ISLE-ET-BARDAIS,3
3162001,46.583,3.195,RR,MARIGNY,249,MARIGNY,3
3185007,46.355,2.575,RR,DOMERAT,229,MONTLUCON,3
3204001,46.284,3.338,RR,PARAY-SOUS-BRIAILLES,250,PARAY-SOUS-BRIAILLES,3
3204001,46.284,3.338,TN,PARAY-SOUS-BRIAILLES,250,PARAY-SOUS-BRIAILLES,3
3204001,46.284,3.338,TX,PARAY-SOUS-BRIAILLES,250,PARAY-SOUS-BRIAILLES,3
3310001,46.118,3.439,RR,VICHY,255,VICHY-VILLE,3
3321001,46.579,3.354,RR,YZEURE,242,YZEURE,3
4039001,43.849,6.508,RR,CASTELLANE,729,CASTELLANE,4
4041001,43.938,5.98,RR,LE CASTELLET,473,LE CASTELLET,4
4049001,44.062,5.99,RR,CHATEAU-ARNOUX-SAINT-AUBAN,458,ST AUBAN,4
4049001,44.062,5.99,TN,CHATEAU-ARNOUX-SAINT-AUBAN,458,ST AUBAN,4
4049001,44.062,5.99,TX,CHATEAU-ARNOUX-SAINT-AUBAN,458,ST AUBAN,4
4070009,44.07,6.187,RR,DIGNE-LES-BAINS,554,DIGNE LES BAINS,4
4096002,44.414,6.725,RR,JAUSIERS,1240,JAUSIERS-ST ANNE,4
4230001,43.84,6.001,RR,VALENSOLE,600,VALENSOLE,4
5007001,44.781,6.737,RR,ARVIEUX,1690,ARVIEUX LA CHALP,5
5007001,44.781,6.737,TN,ARVIEUX,1690,ARVIEUX LA CHALP,5
5026001,44.671,6.776,RR,CEILLAC,1665,CEILLAC,5
5038001,44.759,6.809,RR,CHATEAU-VILLE-VIEILLE,1355,CHATEAU-VILLE-VIEILLE,5
5046001,44.571,6.509,RR,EMBRUN,873,EMBRUN,5
5046001,44.571,6.509,TN,EMBRUN,873,EMBRUN,5
5046001,44.571,6.509,TX,EMBRUN,873,EMBRUN,5
5064001,44.81,6.195,RR,LA CHAPELLE-EN-VALGAUDEMAR,1270,CHAPELLE-EN-VALGAUDEMAR,5
5064001,44.81,6.195,TX,LA CHAPELLE-EN-VALGAUDEMAR,1270,CHAPELLE-EN-VALGAUDEMAR,5
5070001,44.317,5.827,RR,LARAGNE-MONTEGLIN,575,LARAGNE-MONTEGLIN,5
