num_dep,YYYY,TYPE,VALEUR
1,1934,RR,71.45952380952382
1,1935,RR,95.91333333333334
1,1936,RR,72.95625
1,1937,RR,97.34166666666665
1,1938,RR,69.54791666666667
1,1939,RR,78.95
1,1940,RR,115.22500000000001
1,1941,RR,108.76666666666667
1,1941,TM,10.790909090909091
1,1941,TN,6.036363636363636
1,1941,TX,15.563636363636364
1,1942,RR,73.375
1,1942,TM,10.658333333333333
1,1942,TN,5.816666666666666
1,1942,TX,15.475000000000001
1,1943,RR,90.07499999999999
1,1943,TM,11.741666666666667
1,1943,TN,6.883333333333334
1,1943,TX,16.608333333333334
1,1944,RR,95.375
1,1944,TM,10.341666666666667
1,1944,TN,5.816666666666666
1,1944,TX,14.899999999999999
1,1945,RR,81.51818181818182
1,1945,TM,10.536363636363635
1,1945,TN,5.481818181818182
1,1945,TX,15.554545454545453
1,1946,RR,98.98125
1,1946,TM,10.683333333333334
1,1946,TN,5.941666666666666
1,1946,TX,15.399999999999999
1,1947,RR,92.56041666666665
1,1947,TM,11.958333333333334
1,1947,TN,6.550000000000001
1,1947,TX,17.358333333333334
1,1948,RR,115.79583333333333
1,1948,TM,11.016666666666667
1,1948,TN,5.833333333333333
1,1948,TX,16.233333333333334
1,1949,RR,69.07708333333333
1,1949,TM,11.675
1,1949,TN,5.916666666666667
1,1949,TX,17.416666666666668
1,1950,RR,105.50833333333333
1,1950,TM,11.508333333333333
1,1950,TN,6.433333333333334
1,1950,TX,16.575000000000003
1,1951,RR,117.27708333333334
1,1951,TM,11.125
1,1951,TN,6.35
1,1951,TX,15.908333333333335
1,1952,RR,112.41875
1,1952,TM,10.966666666666667
1,1952,TN,5.733333333333333
1,1952,TX,16.183333333333334
1,1953,RR,68.44166666666666
1,1953,TM,10.616666666666667
1,1953,TN,5.35
1,1953,TX,15.908333333333335
1,1954,RR,116.65416666666665
1,1954,TM,10.274999999999999
1,1954,TN,5.266666666666667
1,1954,TX,15.300000000000002
1,1955,RR,95.4875
1,1955,TM,10.691666666666666
1,1955,TN,5.308333333333334
1,1955,TX,16.033333333333335
1,1956,RR,110.34468085106383
1,1956,TM,9.091666666666667
1,1956,TN,4.199999999999999
1,1956,TX,13.983333333333333
1,1957,RR,85.49791666666665
1,1957,TM,10.566666666666666
1,1957,TN,5.241666666666666
1,1957,TX,15.883333333333333
1,1958,RR,117.33749999999999
1,1958,TM,10.866666666666667
1,1958,TN,6.225
1,1958,TX,15.5
1,1959,RR,88.51166666666667
1,1959,TM,12.041666666666666
1,1959,TN,6.633333333333334
1,1959,TX,17.441666666666666
1,1960,RR,132.91333333333333
1,1960,TM,10.991666666666667
1,1960,TN,6.058333333333334
1,1960,TX,15.941666666666666
1,1961,RR,92.97666666666667
1,1961,TM,11.899999999999999
1,1961,TN,6.541666666666667
