num_poste,latitude(°),longitude(°),type
17268002,46.02,-0.407,RR
17300009,46.178,-1.193,RR
17306004,45.633,-0.975,RR
17318001,46.243,-1.562,RR
17323001,46.047,-1.412,RR
17353001,45.988,-1.027,RR
17415003,45.761,-0.652,RR
18003003,47.21,2.552,RR
18015003,47.5,2.427,RR
18033001,47.059,2.36,RR
18036001,47.167,2.081,RR
18037001,47.565,2.262,RR
18047001,47.374,2.427,RR
18057003,46.564,2.218,RR
18087001,46.878,2.566,RR
18089001,46.563,2.52,RR
18092001,47.052,2.642,RR
18109002,47.286,2.579,RR
18125004,47.458,2.893,RR
18172003,46.731,2.467,RR
18175003,46.925,2.803,RR
18187004,46.425,2.237,RR
18207003,46.989,2.249,RR
18223003,47.201,2.417,RR
18231001,46.729,2.632,RR
18242001,46.831,2.927,RR
18279001,47.22,2.014,RR
19010001,45.101,1.938,RR
19016001,45.345,1.824,RR
19033001,45.603,1.93,RR
19034001,44.984,1.988,RR
19073006,45.399,2.059,RR
19125001,45.284,2.04,RR
19136002,45.534,2.154,RR
19139001,45.643,2.096,RR
19157001,45.444,2.253,RR
19237001,45.139,2.096,RR
19272001,45.243,1.74,RR
19275001,45.559,2.321,RR
19288004,45.28,1.416,RR
20004002,41.918,8.793,RR
20004003,41.908,8.618,RR
20040001,42.08,9.053,RR
20108002,42.263,8.839,RR
20211001,41.785,8.979,RR
20272001,41.62,8.962,RR
20312001,41.879,8.989,RR
21154001,47.849,4.581,RR
21231001,47.321,5.019,RR
21310001,47.319,4.596,RR
21386001,47.448,4.434,RR
21454001,47.86,4.315,RR
21473001,47.268,5.088,RR
21501003,47.251,4.561,RR
21503001,47.543,5.418,RR
21519001,47.782,4.864,RR
21527001,46.953,4.674,RR
21564001,47.122,5.072,RR
21567001,47.125,4.499,RR
22113006,48.755,-3.469,RR
22147006,48.188,-2.421,RR
22168001,48.826,-3.473,RR
22243001,48.404,-3.522,RR
22266001,48.227,-3.295,RR
23008004,45.958,2.188,RR
23013001,46.022,2.489,RR
23021001,46.121,1.629,RR
23025001,46.315,1.916,RR
23030004,45.942,1.726,RR
23031002,46.343,2.228,RR
23046001,46.176,2.553,RR
23069002,45.867,2.362,RR
23075001,46.318,1.667,RR
23090003,45.785,1.997,RR
23155001,45.996,1.853,RR
23176001,46.243,1.452,RR
24037005,44.823,0.524,RR
24172001,44.935,1.02,RR
24291001,45.052,1.147,RR
24452001,45.358,0.319,RR
25021001,47.032,5.782,RR
25047001,47.347,6.35,RR
25056001,47.249,5.989,RR
25127001,47.219,6.815,RR
25254001,46.834,6.437,RR
25285001,47.019,6.567,RR
25320001,46.78,6.28,RR
25372001,47.456,6.601,RR
25413001,46.707,6.21,RR
25453001,47.217,6.529,RR
25462001,46.905,6.34,RR
25621001,46.939,6.039,RR
26035001,44.778,5.139,RR
26047001,44.535,5.454,RR
26059001,44.955,5.327,RR
26113003,44.768,5.344,RR
26116002,44.429,4.725,RR
26168001,44.673,5.711,RR
26182001,44.329,5.101,RR
26198001,44.581,4.733,RR
26211001,44.361,4.861,RR
26258001,44.618,4.977,RR
26295001,45.174,4.903,RR
26307001,45.009,5.293,RR
26327001,44.694,5.428,RR
26330001,45.271,4.93,RR
27016001,49.245,1.413,RR
27112001,48.838,0.908,RR
27306001,48.977,1.182,RR
27375001,49.204,1.187,RR
28070001,48.461,1.501,RR
28195001,48.566,1.621,RR
28198001,48.061,1.376,RR
28239002,48.653,1.372,RR
28280001,48.319,0.798,RR
28322001,48.712,0.959,RR
28363001,48.404,1.903,RR
28373002,48.558,1.012,RR
28386001,48.544,1.303,RR
29018001,48.353,-3.869,RR
29041002,48.066,-3.826,RR
29075001,48.45,-4.383,RR
29082001,48.746,-4.012,RR
29120001,48.279,-4.439,RR
29155005,48.473,-5.057,RR
29158001,47.798,-4.375,RR
29163003,48.5,-3.854,RR
29168001,48.039,-4.732,RR
29178001,48.548,-4.664,RR
30009001,43.979,3.444,RR
30076001,44.113,4.519,RR
30129001,44.073,3.978,RR
30153003,44.417,4.023,RR
30189001,43.857,4.406,RR
30202002,44.248,4.627,RR
30212002,43.932,4.562,RR
30224001,43.932,4.241,RR
30243001,44.092,4.08,RR
30258001,43.773,4.413,RR
30263001,43.962,3.835,RR
30269006,44.111,3.872,RR
30305001,44.175,4.153,RR
30334003,43.993,4.402,RR
30349001,43.871,4.072,RR
30350001,43.99,3.612,RR
30352002,43.795,4.091,RR
31042012,42.802,0.6,RR
31069001,43.621,1.379,RR
31070004,43.257,0.644,RR
31157001,43.54,1.373,RR
31374001,43.416,1.628,RR
31403002,43.778,1.321,RR
31451001,43.438,2.019,RR
