COMMUNE,NUM_POSTE,ALTI,NOM_USUEL,LAT_DG,NUM_DEP,LON_DG,ficheClimComplete,ficheClimReduite
JAUSIERS,04096002,1240,JAUSIERS-ST ANNE,44.413667,4,6.725167,0,1
JAUSIERS,04096401,2550,RESTEFOND-NIVOSE,44.34,4,6.8,0,0
MEAILLES,04115001,1090,MEAILLES_SAPC,44.031167,4,6.6295,0,1
MONTCLAR,04126001,1197,MONTCLAR_SAPC,44.391833,4,6.333333,0,1
LA MOTTE-DU-CAIRE,04134002,665,LA MOTTE DU CAIRE,44.326667,4,6.0305,0,0
LA MURE-ARGENS,04136001,920,LA MURE-ARGENS,43.977,4,6.520167,0,1
SAINT-JURS,04184001,867,ST JURS,43.900833,4,6.2005,0,1
SISTERON,04209005,500,SISTERON,44.2245,4,5.916,1,1
TURRIERS,04222001,1020,TURRIERS,44.398667,4,6.169333,0,1
VALENSOLE,04230001,600,VALENSOLE,43.8395,4,6.000833,0,1
ARVIEUX,05007001,1690,ARVIEUX LA CHALP,44.781167,5,6.736667,0,1
ARVIEUX,05007003,1825,ARVIEUX,44.796,5,6.728,0,1
CEILLAC,05026001,1665,CEILLAC,44.671167,5,6.776167,0,1
CHATEAU-VILLE-VIEILLE,05038001,1355,CHATEAU-VILLE-VIEILLE,44.759333,5,6.809,0,0
CREVOUX,05044400,2545,PARPAILLON-NIVOSE,44.495333,5,6.636333,0,0
EMBRUN,05046001,873,EMBRUN,44.571167,5,6.508667,1,1
LA FAURIE,05055001,825,LA FAURIE,44.566667,5,5.750167,0,1
GAP,05061009,885,GAP,44.577667,5,6.079833,1,1
LA GRAVE,05063402,3093,LA MEIJE-NIVOSE,45.012333,5,6.265167,0,0
LA CHAPELLE-EN-VALGAUDEMAR,05064001,1270,CHAPELLE-EN-VALGAUDEMAR,44.81,5,6.195333,0,1
LARAGNE-MONTEGLIN,05070001,575,LARAGNE-MONTEGLIN,44.316667,5,5.827,0,1
LARAGNE-MONTEGLIN,05070003,565,LARAGNE MONTEGLIN,44.319167,5,5.7945,1,1
MOLINES-EN-QUEYRAS,05077402,2630,COL AGNEL-NIVOSE,44.686,5,6.972167,0,0
LE MONETIER-LES-BAINS,05079001,1459,LE MONETIER LES BAINS,44.9715,5,6.514167,0,1
LE MONETIER-LES-BAINS,05079402,2559,GALIBIER-NIVOSE,45.056833,5,6.377167,0,0
LA MOTTE-EN-CHAMPSAUR,05090002,1250,MOTTE-MOLINES,44.748167,5,6.122833,0,0
NEVACHE,05093001,1603,NEVACHE-EDF-03,45.0185,5,6.622333,0,1
ORCIERES,05096404,2280,ORCIERES-NIVOSE,44.719,5,6.333667,0,0
LES ORRES,05098001,1446,LES ORRES,44.501167,5,6.552333,0,1
VALLOUISE-PELVOUX,05101001,1270,PELVOUX,44.870833,5,6.487167,0,1
ABRIES-RISTOLAS,05120002,1670,RISTOLAS,44.765667,5,6.9845,0,1
ROSANS,05126001,625,ROSANS,44.3875,5,5.462167,1,1
SAINT-BONNET-EN-CHAMPSAUR,05132001,1005,ST-BONNET CHAMPSAUR,44.684167,5,6.072833,0,1
SAINT-CREPIN,05136002,906,ST CREPIN,44.7045,5,6.6,0,1
DEVOLUY,05139002,1300,ST ETIENNE-EN-DEVOLUY,44.6945,5,5.9405,0,1
DEVOLUY,05139006,1244,AGNIERES-EN-DEVOLUY,44.696167,5,5.880833,0,0
SAINT-FIRMIN,05142001,935,ST FIRMIN,44.7825,5,6.035,0,1
SAINT-JEAN-SAINT-NICOLAS,05145002,1210,ST JEAN-ST-NICOLAS,44.670833,5,6.209833,0,1
SAINT-VERAN,05157001,2000,ST VERAN,44.6925,5,6.868667,0,1
LE SAIX,05158001,801,LE SAIX,44.475833,5,5.8155,0,1
TALLARD,05170001,593,TALLARD,44.452167,5,6.033333,1,1
VEYNES,05179001,823,VEYNES,44.536333,5,5.840667,0,0
VILLAR-D'ARENE,05181002,1665,VILLAR D'ARENE,45.030833,5,6.361667,0,1
VILLAR-LOUBIERE,05182001,1072,VILLAR LOUBIERE,44.826833,5,6.146,0,1
VILLAR-SAINT-PANCRACE,05183001,1310,VILLAR ST PANCRACE,44.880333,5,6.640333,1,1
ANTIBES,06004002,75,ANTIBES-GAROUPE,43.564667,6,7.133,0,0
ANTIBES,06004004,13,ANTIBES-GOLF,43.579667,6,7.091167,0,0
ANTIBES,06004009,32,ANTIBES_SAPC,43.599167,6,7.111167,0,1
ASCROS,06005001,1173,ASCROS,43.922,6,7.013667,0,1
BEUIL,06016001,1464,BEUIL-OBS,44.089833,6,6.988,0,0
BREIL-SUR-ROYA,06023004,305,BREIL SUR ROYA,43.940167,6,7.513667,0,0
MANDELIEU-LA-NAPOULE,06029001,2,CANNES,43.5565,6,6.9505,0,1
CARROS,06033002,78,CARROS_SAPC,43.786667,6,7.209167,0,0
CAUSSOLS,06037002,1268,CAUSSOLS,43.752333,6,6.923167,0,1
CHATEAUNEUF-GRASSE,06038001,379,CHATEAUNEUF GRASSE,43.678333,6,6.996167,0,0
COURSEGOULES,06050002,985,COURSEGOULES_SAPC,43.792,6,7.0485,0,0
EZE,06059003,704,EZE,43.738833,6,7.365833,0,0
GUILLAUMES,06071001,788,GUILLAUMES-OBS,44.090667,6,6.852333,0,0
ISOLA,06073005,1912,ISOLA 2000,44.1895,6,7.149,0,1
LANTOSQUE,06074005,550,LANTOSQUE_SAPC,43.972,6,7.307,0,1
LEVENS,06075007,691,LEVENS,43.846333,6,7.21,1,1
LUCERAM,06077006,1443,PEIRA CAVA,43.929167,6,7.363333,0,1
MANDELIEU-LA-NAPOULE,06079002,104,MANDELIEU LA NAPOULE_SAPC,43.523667,6,6.898667,0,1
LE MAS,06081001,1525,LE MAS,43.813667,6,6.809333,0,1
MENTON,06083005,216,MENTON,43.785833,6,7.488667,0,0
MOULINET,06086001,817,MOULINET,43.942,6,7.414667,0,0
NICE,06088001,2,NICE,43.648833,6,7.209,1,1
NICE,06088007,238,NICE-RIMIEZ,43.738667,6,7.279167,1,1
PEGOMAS,06090002,109,PEGOMAS,43.602667,6,6.936667,1,1
PEILLE,06091003,1106,PEILLE,43.775167,6,7.428333,0,1
PEONE,06094002,1784,PEONE,44.099667,6,6.930833,0,1
PUGET-THENIERS,06099004,449,PUGET THENIERS_SAPC,43.956833,6,6.892333,0,0
RIMPLAS,06102001,1130,RIMPLAS_SAPC,44.067167,6,7.1335,0,1
ROQUEBILLIERE,06103002,938,BERTHEMONT-LES-BAINS_SAPC,44.044333,6,7.300833,0,0
SAINT-CEZAIRE-SUR-SIAGNE,06118002,694,ST CEZAIRE SUR SIAGNE,43.678667,6,6.809,1,1
